year,district,month,Outbreak status,date,PCODE,month_num,sin_month,cos_month,monsoon_phase_First_Inter_Monsoon,monsoon_phase_SW_Monsoon,monsoon_phase_Second_Inter_Monsoon,monsoon_phase_NE_Monsoon,rainfall_mm,r3h,rfq,rain_lag1,rain_lag2,rfq_lag1,lat,lon,humidity,wind_speed,temp_lag1,humidity_lag1,wind_lag1,buffalo_density,livestock_density,nino34,nino34_lag3,iod_dmi,iod_dmi_lag2,neighbor_outbreak_lag1,neighbor_outbreak_count_lag1,neighbor_outbreak_fraction_lag1,neighbor_outbreak_lag2,Cases,Deaths,severity_score,severity_class
2020,Mannar,January,0,1/1/2020,LK43,1,0.49999999999999994,0.8660254037844387,0,0,0,1,13.9999998999999,840.953846666666,24.0122096666666,374.79999,318.876918,141.361986666666,8.981,79.9044,79.93,3.91,26.48,84.63,4.31,2.1872926794964336,36.19938294783883,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,56,0,61.0,LOW
2020,Matale,January,0,1/1/2020,LK22,1,0.49999999999999994,0.8660254037844387,0,0,0,1,33.7611937,954.82589,25.6524646666666,432.746265,354.65672,131.022095333333,7.4675,80.6234,88.25,2.35,23.89,91.9,2.31,1.8434021991232168,12.042569201925527,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Matara,January,0,1/1/2020,LK32,1,0.49999999999999994,0.8660254037844387,0,0,0,1,60.256409,862.187966666666,47.3748423333333,250.948716,335.384614,120.271273333333,5.9549,80.555,80.71,3.58,26.68,85.34,3.47,4.985255105154855,11.821764264787946,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Monaragala,January,0,1/1/2020,LK82,1,0.49999999999999994,0.8660254037844387,0,0,0,1,58.32258,935.767133333333,38.6411633333333,357.79033,365.403227,129.819139,6.8728,81.3507,89.56,2.04,23.29,93.0,1.89,4.534113103693182,10.68752774325284,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,8,0,13.0,LOW
2020,Mullaitivu,January,0,1/1/2020,LK45,1,0.49999999999999994,0.8660254037844387,0,0,0,1,18.414634,741.772426666666,34.0674146666666,278.780488,269.609762,109.451188,9.2671,80.8128,76.81,4.32,27.04,80.86,4.94,1.2110046239999623,50.0917747937716,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,412,0,422.0,MEDIUM
2020,Nuwara Eliya,January,0,1/1/2020,LK23,1,0.49999999999999994,0.8660254037844387,0,0,0,1,48.551724,801.896533333333,41.73784,300.27587,302.310345,121.644786666666,6.9497,80.7891,87.89,1.98,22.14,91.02,1.82,1.2256544203985305,20.25315075828916,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Polonnaruwa,January,0,1/1/2020,LK72,1,0.49999999999999994,0.8660254037844387,0,0,0,1,18.0172423,980.382233333333,17.8526623333333,466.801749999999,349.474146,136.959251333333,7.9403,81.0188,83.55,2.78,25.92,88.03,2.89,6.923311455305233,20.9779904387718,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,108,0,113.0,MEDIUM
2020,Puttalam,January,0,1/1/2020,LK62,1,0.49999999999999994,0.8660254037844387,0,0,0,1,17.1775703,522.943906666666,41.9136986666666,172.588781999999,198.560745,120.572266666666,8.0362,79.8283,82.73,3.74,26.02,87.35,3.76,2.430096250591856,21.21059903231534,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Ratnapura,January,0,1/1/2020,LK91,1,0.49999999999999994,0.8660254037844387,0,0,0,1,69.944444,806.6235,55.0809276666666,224.7037,322.555555,109.540828333333,6.6828,80.3992,85.6,1.71,24.32,89.76,1.62,3.0288345749313765,7.386705965609163,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,34,0,39.0,LOW
2020,Trincomalee,January,0,1/1/2020,LK53,1,0.49999999999999994,0.8660254037844387,0,0,0,1,17.4096382,967.927666666666,18.2722003333333,458.614458,360.204819,144.85879,8.5874,81.2152,78.07,3.93,26.75,83.2,4.23,13.35024642944336,29.77503204345703,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,88,0,93.0,MEDIUM
