model,alpha,mae_deg,mae_km,rmse_deg,rmse_km,r2_score,training_samples,reliability
delta_lat,1000.0,0.08462322437236518,9.393177905332534,0.12231863264031594,13.57736822307507,0.0004660470250401616,5097,EXCELLENT (production-ready)
delta_lon,1000.0,0.16079176124145822,17.84788549780186,0.22533582495530025,25.012276570038328,0.0025126864948188388,5097,EXCELLENT (production-ready)
