Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
UNFAO-LEG-366672,Lumpy skin disease,,36.919191,126.564711,"OB_127367 - 49-45, SAMDONG-GIL, GODAE-MYEON, DANGJIN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-11-05,2023-11-13,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366673,Lumpy skin disease,,36.860116,126.793777,"OB_127366 - 481-22, SINPYEONG-RO, SINPYEONG-MYEON, DANGJIN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-11-03,2023-11-13,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366674,Lumpy skin disease,,37.689786,126.410686,"OB_127365 - 60, GEONPYEONG-RO, YANGDO-MYEON, GANGHWA-GUN, INCHEON, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-11-03,2023-11-13,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366675,Lumpy skin disease,,36.702655,126.437166,"OB_127364 - 34, DONGMAK 2-GIL, INJI-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-11-02,2023-11-13,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366275,Lumpy skin disease,,36.886892,126.419786,"OB_127075 - 94-4, DOSEONGEUNBURI-GIL, JIGOK-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-11-01,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366586,Lumpy skin disease,,50.65243,93.735736,Saryg-Tal,Russian Federation,Europe,2023-11-01,2023-11-10,Domestic - Cattle,WOAH (former OIE),,,Confirmed
UNFAO-LEG-366276,Lumpy skin disease,,36.70333,126.436791,"OB_127059 - 51, DONGMAK 2-GIL, INJI-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366277,Lumpy skin disease,,36.651016,126.486336,"OB_127058 - 352-1, SAGI-RI, GOBUK-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366278,Lumpy skin disease,,36.72965,126.400108,"OB_127057 - 324-6, WOLGYE-RI, BUSEOK-MYEON, SEOSAN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366279,Lumpy skin disease,,36.828191,126.787055,"OB_127056 - 64, HAPO-GIL, UGANG-MYEON, DANGJIN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
