case_id,country,disease_type,report_date,latitude,longitude,species
492,Algeria,LSD,2024-10-09,36.3589,2.7722,Domestic - Cattle
493,Algeria,LSD,2024-11-21,36.5759,3.9657,Domestic - Cattle
494,Algeria,LSD,2024-06-24,36.4055,3.961,Domestic - Cattle
495,Algeria,LSD,2024-10-09,36.6723,3.808,Domestic - Cattle
496,Algeria,LSD,2024-06-29,36.7435,3.9021,Domestic - Cattle
497,Algeria,LSD,2024-07-02,36.7701,5.8979,Domestic - Cattle
498,Algeria,LSD,2024-06-19,36.5291,2.9957,Domestic - Cattle
499,Algeria,LSD,2024-06-21,35.521,5.223,Domestic - Cattle
500,Algeria,LSD,2024-06-25,32.5298,3.6136,Domestic - Cattle
501,"China, Hong Kong Special Administrative Region	",LSD,2024-06-11,22.4589,114.142,Domestic - Cattle
502,Libya,LSD,2024-04-24,32.6893,13.2279,Domestic - Cattle
503,Libya,LSD,2024-04-17,32.75,13.7166,Domestic - Cattle
504,Libya,LSD,2024-04-17,32.762,13.6658,Domestic - Cattle
505,Libya,LSD,2024-04-24,32.539,13.2862,Domestic - Cattle
506,Libya,LSD,2024-04-17,32.3112,13.1405,Domestic - Cattle
507,Libya,LSD,2024-04-24,32.5356,13.2874,Domestic - Cattle
508,Libya,LSD,2024-04-17,32.3143,13.1341,Domestic - Cattle
509,Libya,LSD,2024-04-24,32.5573,13.2995,Domestic - Cattle
510,Libya,LSD,2024-04-24,32.5339,13.2407,Domestic - Cattle
511,Libya,LSD,2024-04-24,32.7551,13.0643,Domestic - Cattle
512,Libya,LSD,2024-04-17,32.4849,13.2559,Domestic - Cattle
513,Libya,LSD,2024-04-24,32.5276,13.2727,Domestic - Cattle
514,Libya,LSD,2024-04-24,32.7537,13.2893,Domestic - Cattle
515,Libya,LSD,2024-04-24,32.5381,13.2894,Domestic - Cattle
516,Libya,LSD,2024-04-17,32.6523,13.2937,Domestic - Cattle
517,Libya,LSD,2024-04-24,32.6096,13.1476,Domestic - Cattle
518,Libya,LSD,2024-04-24,32.2525,14.3638,Domestic - Cattle
519,Libya,LSD,2024-04-24,32.7008,13.2288,Domestic - Cattle
520,Libya,LSD,2024-03-31,32.3113,13.1407,Domestic - Cattle
521,Libya,LSD,2024-03-31,32.3119,13.1402,Domestic - Cattle
522,Libya,LSD,2024-03-31,32.3128,13.1351,Domestic - Cattle
523,Libya,LSD,2024-04-24,32.7476,13.0929,Domestic - Cattle
524,Libya,LSD,2024-03-31,32.3128,13.1351,Domestic - Cattle
525,Libya,LSD,2024-03-25,32.3022,13.1343,Domestic - Cattle
